text,label
You’ll always be a failure.  ,1
Stop pretending you're important.  ,1
You’re too ugly to have anyone care.  ,1
You’re a nobody.  ,1
Your life means nothing.  ,1
You’re just a burden on everyone.  ,1
Nobody respects you.  ,1
You will always be a joke.  ,1
You're a waste of space.  ,1
Nobody cares about you.  ,1
Stop pretending like you're smart.  ,1
No one wants to talk to you.  ,1
Nobody even notices you.  ,1
You’re too dumb to ever succeed.  ,1
No one wants anything to do with you.  ,1
You’ll always be pathetic.  ,1
No one cares what happens to you.  ,1
You’re just a joke.  ,1
Nobody cares about your dreams.  ,1
You’re too lazy to accomplish anything.  ,1
You’ll never be happy.  ,1
Nobody will ever understand you.  ,1
You’re too stupid to ever fit in.  ,1
You’ll always be alone.  ,1
Nobody likes you.  ,1
You're just a waste of everyone’s time.  ,1
You’ll never make anything of yourself.  ,1
Everyone talks behind your back.  ,1
Nobody will ever care about you.  ,1
You’re worthless.  ,1
You’re just wasting your life.  ,1
You will always be a failure in everyone’s eyes.,1
"Stop acting like you're important, you're not.",1
No one cares what you think.,1
"You're just taking up space, nobody wants you around.",1
"Why don't you just disappear, no one will miss you.",1
You're a burden to everyone you meet.,1
You’re always going to be the odd one out.,1
"Nobody ever listens to you, why do you even bother?",1
"Nobody cares about your problems, they’re not real.",1
"You’re so ugly, it’s embarrassing.",1
I can’t stand being around you.,1
You’ll never be as successful as others.,1
"Stop pretending like you matter, nobody notices.",1
You're not good enough for anyone.,1
Your existence doesn’t matter.,1
"You’ll never have any friends, just face it.",1
Nobody wants to hear your voice.,1
"You’ll always be alone, no one wants you.",1
You’re just a waste of time for everyone around you.,1
Nobody would care if you were gone.,1
"You should just quit, you're too stupid to understand anything.",1
"I don’t know why you even try, you’re not capable.",1
Nobody is ever going to love you.,1
You’re too weak to succeed in life.,1
You’re not worth anyone’s time.,1
Why do you even bother talking? Nobody cares.,1
You will never be anything more than a failure.,1
Your life is a joke.,1
Nobody will ever respect you.,1
You’ll always be a disappointment.,1
"You’re so boring, no one cares about you.",1
Why do you even show up? You’re not needed.,1
No one will ever take you seriously.,1
You’ll never be good enough for anyone.,1
You’re just a waste of air.,1
Nobody ever remembers you because you're irrelevant.,1
"You’re so stupid, it's honestly painful.",1
Why do you try so hard? You’ll never make it.,1
You will always be the joke of the group.,1
Nobody will miss you if you were gone.,1
You’re nothing but a disappointment.,1
"You’re worthless, nobody cares about you.",1
You’re not strong enough to survive in the real world.,1
Why are you still here? Nobody wants you.,1
Nobody respects you or your opinion.,1
"You’ll never succeed, no matter how hard you try.",1
Nobody cares if you succeed or fail.,1
You’re too ugly to get anyone’s attention.,1
Everyone laughs at you behind your back.,1
You’re a failure and you always will be.,1
You’re not capable of doing anything right.,1
No one wants to be your friend.,1
You’ll always be a loser.,1
"Stop pretending like you're important, you're just not.",1
You don’t matter to anyone.,1
Nobody cares about your feelings.,1
You're too dumb to understand anything.,1
"You’ll always be alone, just accept it.",1
Nobody will ever help you.,1
"You’re just a burden, always will be.",1
You’re never going to fit in.,1
"Nobody respects you, you’re just a joke.",1
You’re not good enough to hang out with us.,1
Nobody wants you around.,1
You’ll always be an outsider.,1
"You’re so stupid, it’s pathetic.",1
Why do you even try? It’s never going to work out.,1
You’re not good enough for this group.,1
Nobody will care about you when you fail.,1
You’ll always be a failure.,1
"Stop talking, nobody is interested.",1
"Your life is a mess, nobody cares.",1
You’ll never make anything of yourself.,1
You’re always going to be irrelevant.,1
You can’t even do the simplest things right.,1
Nobody cares about your pathetic attempts.,1
You’ll never get ahead in life.,1
Nobody wants to hear you complain.,1
You’re too dumb to ever succeed.,1
"You’re so annoying, nobody wants to be around you.",1
"You will always be a loser, get used to it.",1
"You should just leave, nobody cares about you.",1
You’re just a waste of space.,1
Nobody even remembers your name.,1
"Stop trying to fit in, it's never going to happen.",1
You’ll never find happiness.,1
You’re just a waste of everyone’s time.,1
No one will ever love someone like you.,1
You’re not worth anyone’s effort.,1
Your life will never get better.,1
You’re always going to be a failure.,1
"You’re so worthless, it’s sad.",1
Nobody cares what happens to you.,1
You’re not even worth my time.,1
You’ll always be the outsider.,1
You’ll never be as successful as others.,1
Nobody cares if you're happy or not.,1
You’re a mistake and you’ll always be one.,1
Nobody believes in you.,1
Your opinions don’t matter.,1
"You’re so useless, I can’t even look at you.",1
You’re too pathetic to succeed in life.,1
"Stop pretending you’re capable, you’re not.",1
Your life is a joke to everyone around you.,1
No one cares if you succeed or fail.,1
You’re always going to be ignored.,1
"Nobody respects you, stop trying.",1
You’ll always be a failure.,1
Nobody cares about your stupid drama.,1
You’ll always be the one who gets left behind.,1
You’ll never be good enough to be in this group.,1
You’re a joke to everyone who knows you.,1
You don’t even deserve to be here.,1
Nobody cares about your problems.,1
"You’ll never fit in, no matter how hard you try.",1
You’re just wasting your time.,1
Nobody wants anything to do with you.,1
You can’t do anything right.,1
You’ll always be a disappointment to your family.,1
You’re too ugly to ever be happy.,1
No one wants to hear your opinions.,1
You’re just a burden to everyone.,1
Nobody cares about what you want.,1
You’ll never be a part of this group.,1
Your existence doesn’t matter to anyone.,1
You’ll always be alone.,1
Nobody would even care if you were gone.,1
You’re not good enough to be in the group.,1
You’re just a joke.,1
Nobody will ever care about you.,1
You’ll always be on the outside looking in.,1
You’re not strong enough to handle life.,1
"You’re a failure, don’t even bother.",1
Nobody respects your opinion.,1
You’ll never get anywhere in life.,1
"You're so stupid, it’s painful to watch.",1
No one cares about your fake smile.,1
You will never fit in.,1
You’ll always be a loser.,1
Nobody will care if you succeed.,1
You’ll never be good enough for anyone.,1
Nobody cares about your dreams.,1
"You’re so dumb, it's embarrassing.",1
Nobody listens to you.,1
You’re just wasting everyone’s time.,1
You’ll never be anything more than a failure.,1
Nobody will ever understand you.,1
You will never be loved.,1
You’re just a pathetic excuse for a person.,1
You’ll always be a disappointment.,1
Nobody will ever respect you.,1
You're just wasting space on this Earth.,1
Nobody cares if you live or die.,1
You can’t even do anything right.,1
You’ll always be the one who gets left behind.,1
No one wants you here.,1
"You're so useless, it’s depressing.",1
You will never be good enough for anyone.,1
Nobody even notices you.,1
"Stop acting like you belong, you don’t.",1
Nobody cares what you think.,1
You’ll always be a nobody.,1
"You're just a loser, face it.",1
Nobody cares about your stupid opinions.,1
Your life is pointless.,1
You’re just taking up space.,1
Stop pretending you’re important.,1
You’ll always be an outcast.,1
You’re never going to make it in life.,1
You’re too stupid to understand anything.,1
Nobody is ever going to love you.,1
You’re just a joke to everyone around you.,1
Nobody even cares if you succeed.,1
You’re just wasting everyone’s time.,1
You’ll never be good enough.,1
"Nobody listens to you, stop talking.",1
You’re too ugly to ever be happy.,1
Nobody takes you seriously.,1
You’re a joke.,1
Nobody cares about your feelings.,1
"You’re so pathetic, nobody will ever care.",1
You’re just a failure waiting to happen.,1
Nobody cares about your existence.,1
You’re a waste of everyone's time.,1
Nobody cares what you think.,1
You’re always going to be a nobody.,1
"Nobody listens to you, so stop trying.",1
You’ll never be anything but a failure.,1
Nobody respects you or your opinion.,1
"Stop trying, you’re never going to succeed.",1
You’re just wasting everyone's time.,1
Nobody cares about your fake smile.,1
You’ll always be a failure.,1
You’re too dumb to ever fit in.,1
Nobody wants you here.,1
Nobody cares if you succeed or fail.,1
You’re a disappointment to everyone around you.,1
No one cares about your dreams.,1
You’re not even worth anyone’s time.,1
You’ll never make anything of yourself.,1
Nobody believes in you.,1
You’re a joke to everyone.,1
You’re worthless and pathetic.,1
Nobody cares what you want.,1
You’ll always be a failure.,1
Stop pretending to be happy.,1
You’ll always be alone.,1
Nobody cares about your success.,1
"You're so stupid, it’s embarrassing.",1
Nobody wants you around.,1
You’re not worth anyone’s time.,1
Nobody cares about your life.,1
You’ll never be successful.,1
You’re just a waste of time.,1
Nobody takes you seriously.,1
You’re always going to be alone.,1
No one respects you.,1
You’ll never be happy.,1
Nobody cares about your dreams.,1
You’ll always be the outsider.,1
Nobody cares what happens to you.,1
You’re just a joke.,1
You’ll never make it.,1
Nobody cares about you.,1
You’re not good enough.,1
No one respects you.,1
You’re always going to be the second choice.,1
Nobody believes in you.,1
You’re always going to be a failure.,1
Nobody will ever care about you.,1
You’ll never fit in.,1
Nobody is ever going to help you.,1
You’ll never succeed.,1
You’re always going to be nothing.,1
Nobody wants to hear from you.,1
You’re too stupid to ever make it.,1
No one wants you around.,1
You’ll never be good enough.,1
You’re always going to be a failure.,1
You don’t even deserve to live.,1
Nobody cares if you're happy or not.,1
You’re not even worth hating.,1
Nobody will ever help you.,1
You’ll always be a loser.,1
You don’t matter to anyone.,1
You’re always going to be a joke.,1
No one will ever care.,1
You’re not worth the effort.,1
No one wants to listen to you.,1
"You’re just a failure, get used to it.",1
How was your weekend?,0
What are your plans for today?,0
I hope you have a great day ahead!,0
What did you have for lunch today?,0
How do you spend your free time?,0
I enjoy reading books. What about you?,0
Do you have any hobbies?,0
What’s your favorite color?,0
Do you prefer tea or coffee?,0
How do you like to relax after a busy day?,0
What's your favorite movie?,0
Have you ever been to the beach?,0
I love hiking in the mountains.,0
What’s your dream vacation destination?,0
Do you enjoy cooking?,0
I’d like to know more about your work.,0
What kind of music do you like?,0
I’ve been trying a new recipe. It turned out great!,0
Do you have a favorite book?,0
How’s the weather today?,0
What’s your favorite season of the year?,0
What’s your favorite holiday destination?,0
Do you like sports?,0
I’m learning how to play the guitar.,0
How was your day at work/school?,0
"I’m watching a new TV show, it’s really good!",0
What’s your favorite type of cuisine?,0
I’ve been trying to get more exercise lately.,0
Have you ever been to a concert?,0
Do you have any pets?,0
What’s your favorite thing to do in the evening?,0
I enjoy spending time with my family.,0
How did your presentation go today?,0
What was the highlight of your day?,0
Have you tried any new hobbies recently?,0
What’s the most interesting place you’ve visited?,0
I’d love to hear about your favorite book.,0
Have you ever been to a museum?,0
What kind of movies do you enjoy watching?,0
How do you keep yourself motivated?,0
Do you like gardening?,0
What’s your favorite time of the day?,0
Have you ever traveled abroad?,0
How’s everything going with your project?,0
What’s your favorite type of weather?,0
What did you do this weekend?,0
I love watching the sunrise.,0
Do you like puzzles?,0
How often do you visit your hometown?,0
Have you been on any exciting trips?,0
What’s your favorite thing to do with friends?,0
I love spending time outdoors.,0
What’s your favorite way to exercise?,0
How do you like to spend your weekends?,0
I’m looking forward to my vacation next month.,0
What’s your favorite book genre?,0
What did you have for breakfast today?,0
Do you enjoy playing video games?,0
I enjoy cooking healthy meals at home.,0
What’s your favorite activity to do with family?,0
How do you usually spend your holidays?,0
I’ve been learning to bake.,0
Do you have any exciting plans for the weekend?,0
What’s your favorite restaurant?,0
How do you stay productive throughout the day?,0
Do you enjoy traveling for work?,0
What’s your favorite childhood memory?,0
How’s your workout routine going?,0
What’s your favorite type of art?,0
Do you like to go on road trips?,0
What was the best part of your day today?,0
Have you tried any new food lately?,0
How do you prepare for a busy week?,0
Do you like listening to podcasts?,0
I love spending time with my friends on weekends.,0
How do you stay fit?,0
What’s the most relaxing activity you enjoy?,0
Do you enjoy any DIY projects?,0
How do you usually unwind after a stressful day?,0
Do you like to watch documentaries?,0
What’s the best book you’ve read recently?,0
How do you stay focused during work/school?,0
Do you enjoy learning new languages?,0
What’s your favorite weekend getaway?,0
Have you ever been on a cruise?,0
How do you like to spend your vacations?,0
What’s your favorite sport to play?,0
Do you enjoy going to the gym?,0
How often do you visit your favorite cafe?,0
What do you do for fun on weekends?,0
What’s your favorite place to hang out with friends?,0
Have you tried meditation before?,0
Do you like taking walks in nature?,0
What’s your favorite way to relax?,0
How do you stay organized with your tasks?,0
What kind of outdoor activities do you enjoy?,0
What’s the most adventurous thing you’ve done?,0
Do you like playing board games?,0
Have you visited any new places recently?,0
How do you stay healthy throughout the year?,0
What’s your favorite thing to do on a rainy day?,0
How do you keep your workspace neat?,0
Do you like going to the beach in the summer?,0
Have you seen any good movies lately?,0
Do you enjoy spending time in nature?,0
How do you handle stress in a busy week?,0
Do you enjoy being outdoors?,0
What’s your favorite way to spend your evenings?,0
Do you enjoy having a routine?,0
How do you stay positive throughout the day?,0
What’s your favorite type of dessert?,0
Do you enjoy hiking or trekking?,0
What’s the best vacation spot you’ve visited?,0
What’s your favorite way to stay in touch with family?,0
What’s the best part of working from home?,0
How do you stay productive while traveling?,0
Have you tried any new hobbies recently?,0
What’s your favorite podcast to listen to?,0
What was the last adventure you went on?,0
How do you stay healthy during winter?,0
What’s your favorite holiday tradition?,0
How do you keep your energy up throughout the day?,0
Do you prefer the city or countryside?,0
What’s your favorite coffee drink?,0
How do you manage your work-life balance?,0
What’s the best thing about your job?,0
What was the most interesting thing you learned this week?,0
How do you prepare for a big event?,0
Do you like spending time in museums?,0
How do you stay motivated to reach your goals?,0
What do you like to do for fun with friends?,0
What’s your favorite outdoor activity?,0
How do you like to spend a lazy weekend?,0
What’s the best part of your morning routine?,0
How do you feel about working on weekends?,0
Do you enjoy traveling for leisure?,0
What’s the most exciting thing you’ve done this year?,0
Do you prefer reading books or watching movies?,0
How do you like to spend time with family?,0
What’s your favorite type of cuisine to eat?,0
What’s your favorite type of fruit?,0
How do you celebrate your birthdays?,0
What’s your favorite song right now?,0
What’s your favorite place to visit in your hometown?,0
How do you stay focused when working from home?,0
What’s your favorite type of exercise?,0
What do you enjoy most about weekends?,0
Do you like taking photos when you travel?,0
How do you balance work and relaxation?,0
What’s your favorite holiday destination?,0
How do you keep your work environment positive?,0
What’s your favorite way to exercise?,0
Do you prefer indoor or outdoor activities?,0
How do you manage your time effectively?,0
What’s the best part of your day?,0
Do you enjoy spending time alone?,0
What’s your favorite movie genre?,0
What’s the most relaxing thing you can do?,0
How do you celebrate special occasions?,0
What’s the best way to start your day?,0
What’s your favorite type of art?,0
How do you relax before bedtime?,0
Do you prefer spending time alone or with others?,0
What’s your favorite weekend activity?,0
Do you enjoy going to the gym regularly?,0
How do you feel about working out?,0
What’s your favorite holiday activity?,0
How do you keep your mind sharp?,0
What do you do to stay productive on weekends?,0
Do you prefer cooking at home or eating out?,0
How do you like to spend your free time?,0
What’s your favorite outdoor sport?,0
What’s your favorite memory with your friends?,0
How do you organize your daily tasks?,0
What’s the best way to end your day?,0
How do you like to spend time with your friends?,0
What was the highlight of your week?,0
What book are you reading at the moment?,0
What’s your favorite type of workout?,0
How do you relax after a stressful week?,0
Do you like watching nature documentaries?,0
How do you celebrate New Year’s Eve?,0
What’s the best part of your morning routine?,0
Do you like to go to museums on weekends?,0
How do you stay motivated to work on long-term projects?,0
What’s your favorite way to enjoy nature?,0
How do you make sure you’re staying healthy?,0
What’s the most enjoyable hobby you’ve picked up recently?,0
How do you spend your weekends when you have free time?,0
Do you like to try new food recipes?,0
What’s your favorite type of dessert to make?,0
What do you like most about spending time with family?,0
Do you prefer watching sports live or on TV?,0
How do you unwind after a busy day?,0
What’s your favorite weekend getaway spot?,0
How do you organize your day when you have a lot of tasks?,0
What’s your favorite thing to do in your free time?,0
Do you like participating in charity events?,0
How do you usually spend your holidays?,0
What’s the best way to stay connected with loved ones?,0
How do you stay productive when working from home?,0
Do you prefer spending time alone or with others?,0
How do you handle stress at work?,0
What’s your favorite outdoor activity in the summer?,0
How do you like to spend time during the winter?,0
What do you enjoy most about your hobbies?,0
How do you stay healthy during stressful times?,0
What’s your favorite way to relax at night?,0
How do you stay on track with your goals?,0
What’s your favorite thing about your neighborhood?,0
How do you balance work and personal time?,0
What’s your favorite type of exercise for staying fit?,0
How do you maintain a good work-life balance?,0
What’s your favorite vacation spot to unwind?,0
How do you celebrate your accomplishments?,0
Do you like to listen to music while working?,0
How do you take care of your mental health?,0
How do you motivate yourself to finish a project?,0
What’s your favorite way to stay active in the summer?,0
What’s your favorite season for outdoor activities?,0
How do you feel about working remotely?,0
What’s the best way to keep in touch with old friends?,0
How do you deal with a busy work schedule?,0
How do you stay organized when working on multiple projects?,0
Do you enjoy spending time in nature?,0
What’s the most peaceful place you’ve been to?,0
How do you manage your time effectively?,0
How do you unwind after a long day at work?,0
What’s your favorite way to spend a day off?,0
Do you prefer spending time at home or going out?,0
How do you stay focused during long workdays?,0
What’s your favorite outdoor adventure activity?,0
How do you like to spend time with your family?,0
How do you organize your tasks for the day?,0
What’s your favorite type of music to listen to?,0
How do you handle pressure during deadlines?,0
What’s your favorite form of self-care?,0
How do you stay inspired and motivated?,0
What’s your favorite way to keep your mind sharp?,0
How do you stay productive in the afternoon slump?,0
What’s the best advice you’ve ever received?,0
How do you prepare for an important meeting or event?,0
How do you stay in touch with friends who live far away?,0
What’s your favorite memory with your friends?,0
How do you relax when you feel overwhelmed?,0
How do you celebrate small victories in your life?,0
How do you keep up with your favorite hobbies?,0
What’s the most relaxing activity you enjoy?,0
How do you like to spend time during the weekends?,0
What’s the best way to stay positive during challenging times?,0
How do you maintain your focus throughout the day?,0
What’s your favorite thing to do with your coworkers?,0
How do you make sure you have time to relax?,0
What’s the best way to unwind before bed?,0
Do you prefer the city or countryside for a peaceful getaway?,0
What’s your favorite way to spend an afternoon outdoors?,0
How do you stay motivated to keep working on long-term projects?,0
How do you organize your workspace for productivity?,0
What’s your favorite activity to do with your family at home?,0
How do you handle multiple tasks at once?,0
How do you like to celebrate the holidays?,0
What’s your favorite book of all time?,0
How do you keep your energy up throughout the day?,0
What’s your favorite time of day to relax?,0
What’s the best thing about working from home?,0
How do you make time for your hobbies?,0
What’s your favorite type of vacation to go on?,0
How do you prepare for a busy week ahead?,0
What’s your favorite thing about spending time outdoors?,0
How do you stay motivated to exercise regularly?,0
What’s the best way to improve your productivity?,0
How do you like to unwind after a busy weekend?,0
What’s your favorite way to stay healthy and fit?,0
How do you balance work and personal time effectively?,0
What’s your favorite thing to do with your friends outdoors?,0
How do you stay positive in difficult situations?,0
What’s your favorite form of creative expression?,0
How do you stay focused while working from home?,0
What’s the best way to spend time with your family?,0
How do you stay calm when you’re feeling stressed?,0
What’s your favorite way to relieve stress?,0
How do you spend your weekends when you have no plans?,0
How do you stay connected with your coworkers outside of work?,0
What’s your favorite activity for a relaxing weekend?,0
How do you celebrate your successes?,0
How do you make the most of your free time?,0
What’s your favorite thing to do when you’re feeling bored?,0
How do you unwind after a long workday?,0
What’s your favorite way to be productive during the week?,0
How do you stay positive and motivated?,0
What’s your favorite way to spend a rainy day?,0
How do you handle stress during a busy day at work?,0
What’s your favorite way to get creative?,0
How do you stay active during the winter months?,0
What’s your favorite type of self-care activity?,0
How do you stay focused on your long-term goals?,0
What’s your favorite way to relax with friends?,0
How do you handle setbacks and keep going?,0
How do you manage your energy during long days?,0
How do you stay calm and collected during meetings?,0
What’s your favorite form of relaxation after work?,0
How do you like to spend your evenings after a busy day?,0
How do you prioritize your tasks each day?,0
What’s your favorite way to recharge after a long day?,0
How do you like to celebrate milestones in life?,0
What’s your favorite hobby to do in your free time?,0
How do you deal with distractions while working from home?,0
How do you balance work and personal life?,0
What’s your favorite place to visit for relaxation?,0
How do you stay on track with your personal goals?,0
What’s your favorite type of social activity to do with friends?,0
